date,text,likes,retweets,link
2020-10-01,"- Entrega de mais uma obra de distribuição de água no nordeste, a 2ª etapa do Sistema Adutor do Pajeú, em São José do Egito-PE. Cerca de 100 mil pessoas beneficiadas. Que Deus continue abençoando o nosso Nordeste e o nosso Brasil!
. YouTube: https://t.co/5pKl7r3LzL https://t.co/gowuY33tJz",25346,5335,https://twitter.com/jairbolsonaro/status/1311713185691566081
2020-10-01,"- Campina Grande/Paraíba.
. YouTube: https://t.co/6NpZWshtZU https://t.co/58MkKAyrnh",19382,3880,https://twitter.com/jairbolsonaro/status/1311645406795829249
2020-09-30,"- Pronunciamento na Cúpula da Biodiversidade da ONU.
. Link no YouTube: https://t.co/r7PZtj9lyx",858,162,https://twitter.com/jairbolsonaro/status/1311426487082463232
2020-09-30,6- https://t.co/BcZCu8795q,484,73,https://twitter.com/jairbolsonaro/status/1311329847441084418
2020-09-30,6- https://t.co/wranD14PGh,519,87,https://twitter.com/jairbolsonaro/status/1311326215937155079
2020-09-30,"5- Custo entender, como chefe de Estado que reabriu plenamente a sua diplomacia com os Estados Unidos, depois de décadas de governos hostis, tão desastrosa e gratuita declaração.
- Lamentável,  Sr. Joe Biden, sob todos os aspectos, lamentável.",907,134,https://twitter.com/jairbolsonaro/status/1311326089537556480
2020-09-30,"4- A cobiça de alguns países sobre a Amazônia é uma realidade. Contudo, a externação por alguém que disputa o comando de seu país sinaliza claramente abrir mão de uma convivência cordial e profícua.",959,137,https://twitter.com/jairbolsonaro/status/1311325996998692864
2020-09-30,"3- Meu governo está realizando ações sem precedentes para proteger a Amazônia. Cooperação dos EUA é bem-vinda, inclusive para projetos de investimento sustentável que criem emprego digno para a população amazônica, tal como tenho conversado com o Presidente Trump.",1489,222,https://twitter.com/jairbolsonaro/status/1311325823056703489
2020-09-30,"2- O que alguns ainda não entenderam é que o Brasil mudou. Hoje, seu Presidente, diferentemente da esquerda, não mais aceita subornos, criminosas demarcações ou infundadas ameaças. NOSSA SOBERANIA É INEGOCIÁVEL.",2147,382,https://twitter.com/jairbolsonaro/status/1311325732866588678
2020-09-30,"1- O candidato à presidência dos EUA, Joe Biden, disse ontem que poderia nos pagar U$ 20 bilhões para pararmos de ""destruir"" a Amazônia ou nos imporia sérias restrições econômicas.",2758,578,https://twitter.com/jairbolsonaro/status/1311325653179006977
2020-09-30,@rogeriosmarinho 🤝,166,16,https://twitter.com/jairbolsonaro/status/1311295720134250496
2020-09-29,@tarcisiogdf 🚂 🇧🇷🤝!,319,23,https://twitter.com/jairbolsonaro/status/1311077312142733314
2020-09-29,@mdregional_br 👍,98,16,https://twitter.com/jairbolsonaro/status/1311075431974612994
2020-09-29,@TerezaCrisMS @DamaresAlves @Mapa_Brasil @DHumanosBrasil @govbr @FSchwanke 🤝🇧🇷,382,31,https://twitter.com/jairbolsonaro/status/1311075310994153473
2020-09-29,"- Cerimônia de sanção da Lei 14.064, Lei ""SANSÃO"", que agrava a pena contra quem maltratar cães e gatos. https://t.co/u8dMQv4EJA",2882,457,https://twitter.com/jairbolsonaro/status/1311075183814414336
2020-09-29,"- Pior que uma decisão mal tomada é uma INDECISÃO.
- Temos tempo e aceitamos sugestões. Um bom dia a todos.
. Link no YouTube: https://t.co/h81VEETx85",153,23,https://twitter.com/jairbolsonaro/status/1310988871728013317
2020-09-29,"6- A responsabilidade fiscal e o respeito ao teto são os trilhos da Economia. Estamos abertos a sugestões juntamente com os líderes partidários. 
7- O Auxílio Emergencial, infelizmente para os demagogos e comunistas, não pode ser para sempre.",217,32,https://twitter.com/jairbolsonaro/status/1310916072766406656
2020-09-29,"5- Os responsáveis pela destruição de milhões de empregos agora se calam. O meu governo busca se antecipar aos graves problemas sociais que podem surgir em 2021, caso nada se faça para atender a essa massa que tudo, ou quase tudo, perdeu.",298,45,https://twitter.com/jairbolsonaro/status/1310915999537954822
2020-09-29,"4- A política do ""fique em casa que a ""economia a gente vê depois"" acabou e o “depois” chegou. A imprensa, que tanto apoiou o ""fique em casa"", agora não apresenta opções de como atender a esses milhões de desassistidos.",316,62,https://twitter.com/jairbolsonaro/status/1310915933347643392
2020-09-29,"3- Na verdade, estou pensando é em 2021, pois temos  milhões de brasileiros que perderam seus empregos ou rendas e deixarão de receber o auxílio emergencial a partir de janeiro/2021.",432,73,https://twitter.com/jairbolsonaro/status/1310915830457290752
2020-09-29,"2- Minha crescente popularidade importuna adversários e grande parte da imprensa, que rotulam qualquer ação minha como eleitoreira. Se nada faço, sou omisso. Se faço, estou pensando em 2022.",579,107,https://twitter.com/jairbolsonaro/status/1310915748315959296
2020-09-29,1- Ao longo da minha vida parlamentar nunca me preocupei com reeleição. Sempre exerci meu trabalho na convicção de que o voto era consequência dele. https://t.co/kpa3GwMml0,1263,223,https://twitter.com/jairbolsonaro/status/1310915672839516166
2020-09-29,"C. Rio Grande do Sul: Estrutura de concreto e já sinalizada. Nova Ponte do Guaíba. Fase final de acabamento. Abertura do vão central com 2,9km de ponte confirmada para novembro. Obra de 2014 que finalmente será aberta para o tráfego. Informações: @DNIToficial @Marceloscf2 https://t.co/R6iJpzjUbp",120,19,https://twitter.com/jairbolsonaro/status/1310890956565217281
